DATE,IPG2211N
1972-01-01,35.9358
1972-02-01,36.1059
1972-03-01,35.0223
1972-04-01,33.8054
1972-05-01,33.4847
1972-06-01,36.4616
1972-07-01,39.1136
1972-08-01,41.3757
1972-09-01,40.1185
1972-10-01,37.0792
1972-11-01,36.9936
1972-12-01,38.3944
1973-01-01,40.6924
1973-02-01,39.7876
1973-03-01,37.8803
1973-04-01,36.2503
1973-05-01,36.4885
1973-06-01,40.8586
1973-07-01,44.3162
1973-08-01,45.8795
1973-09-01,44.3887
1973-10-01,40.5928
1973-11-01,39.4394
1973-12-01,38.8470
1974-01-01,40.0271
1974-02-01,39.6258
1974-03-01,38.2333
1974-04-01,36.8289
1974-05-01,37.5218
1974-06-01,40.3307
1974-07-01,44.9113
1974-08-01,46.1029
1974-09-01,43.2064
1974-10-01,40.3145
1974-11-01,39.7482
1974-12-01,41.9786
1975-01-01,43.3195
1975-02-01,42.4915
1975-03-01,40.8206
1975-04-01,39.2583
1975-05-01,38.9911
1975-06-01,42.4091
1975-07-01,46.2797
1975-08-01,48.1017
1975-09-01,45.0557
1975-10-01,41.0986
1975-11-01,40.7584
1975-12-01,44.0526
1976-01-01,47.5854
1976-02-01,44.7457
1976-03-01,42.7662
1976-04-01,40.9440
1976-05-01,40.6431
1976-06-01,44.9884
1976-07-01,48.8716
1976-08-01,50.0843
1976-09-01,47.4818
1976-10-01,43.9718
1976-11-01,45.3544
1976-12-01,49.2441
1977-01-01,52.8097
1977-02-01,49.8392
1977-03-01,46.0656
1977-04-01,43.5638
1977-05-01,44.4541
1977-06-01,48.8661
1977-07-01,53.7358
1977-08-01,54.0098
1977-09-01,50.8868
1977-10-01,46.2646
1977-11-01,45.2362
1977-12-01,48.8902
1978-01-01,53.2290
1978-02-01,51.5034
1978-03-01,47.6883
1978-04-01,43.6845
1978-05-01,44.7555
1978-06-01,50.2285
1978-07-01,54.2352
1978-08-01,55.7974
1978-09-01,53.4430
1978-10-01,48.6027
1978-11-01,48.1488
1978-12-01,51.1846
1979-01-01,56.4477
1979-02-01,55.5454
1979-03-01,50.2965
1979-04-01,46.7574
1979-05-01,45.9983
1979-06-01,49.6819
1979-07-01,53.7301
1979-08-01,56.1047
1979-09-01,52.4444
1979-10-01,48.7880
1979-11-01,48.3129
1979-12-01,50.5612
1980-01-01,53.4800
1980-02-01,53.4511
1980-03-01,50.9536
1980-04-01,46.7986
1980-05-01,45.4769
1980-06-01,49.9355
1980-07-01,57.0454
1980-08-01,59.4150
1980-09-01,56.0555
1980-10-01,50.1944
1980-11-01,49.1283
1980-12-01,52.7082
1981-01-01,57.2681
1981-02-01,54.4956
1981-03-01,51.0719
1981-04-01,48.3845
1981-05-01,47.8041
1981-06-01,54.4305
1981-07-01,59.4797
1981-08-01,59.5321
1981-09-01,54.8250
1981-10-01,50.3004
1981-11-01,49.6145
1981-12-01,53.3132
1982-01-01,57.6554
1982-02-01,54.1788
1982-03-01,51.0846
1982-04-01,48.4145
1982-05-01,47.2301
1982-06-01,51.7230
1982-07-01,56.2795
1982-08-01,56.9137
1982-09-01,53.1313
1982-10-01,48.5158
1982-11-01,48.4502
1982-12-01,50.7648
